#Word Types: 14665		
#Word Tokens: 542836		
#Search Hits: 0		
Rank	Type	Freq
607	médico	118
608	tanto	118
609	companhia	117
610	configurados	117
611	evidente	117
612	falar	117
613	formulados	117
614	novembro	117
615	parágrafo	117
616	planos	117
617	recuperação	117
618	sede	117
619	demonstrado	116
620	horas	116
621	previsão	116
622	problema	116
623	própria	116
624	risco	116
625	brasil	115
626	extinção	115
627	impõe	115
628	lesão	115
629	motivo	115
630	ocorre	115
631	porquanto	115
632	rede	115
633	rio	115
634	urgência	115
635	encontra	114
636	enunciado	114
637	inicialmente	114
638	luz	114
639	possibilidade	114
640	deu	113
641	espécie	113
642	isto	113
643	rescisão	113
644	abalo	112
645	financeira	112
646	havia	112
647	impossibilidade	112
648	outros	112
649	quem	112
650	visto	112
651	declaratória	111
652	duas	111
653	informações	111
654	necessário	111
655	elementos	110
656	fora	110
657	seria	110
658	virtude	110
659	disse	109
660	efetiva	109
661	adequado	108
662	cobrados	108
663	nada	108
664	preliminares	108
665	aquele	107
666	irregularidade	107
667	prevista	107
668	provar	107
669	seguintes	107
670	todavia	107
671	vida	107
672	estar	106
673	prescrição	106
674	técnica	106
675	constituição	105
676	ele	105
677	legislação	105
678	pessoal	105
679	produtos	105
680	depoimento	104
681	estado	104
682	frente	104
683	medidor	104
684	nenhum	104
685	será	104
686	ficou	103
687	nova	103
688	sofridos	103
689	yyyyy	103
690	contraposto	102
691	deferida	102
692	desse	102
693	determinar	102
694	distribuição	102
695	empresas	102
696	entretanto	101
697	exclusiva	101
698	fevereiro	101
699	improvido	101
700	tinha	101
701	todo	101
702	agir	100
703	alegado	100
704	ambos	100
705	nenhuma	100
706	número	100
707	previsto	100
708	sequer	100
709	titular	100
710	uso	100
711	locação	99
712	outras	99
713	reconhecimento	99
714	economia	98
715	favor	98
716	fundamento	98
717	grifei	98
718	jurídico	98
719	móvel	98
720	pessoas	98
721	ponto	98
722	tese	98
723	efetuar	97
724	reparar	97
725	zzzzzzzzzzz	97
726	abastecimento	96
727	efetuou	96
728	entanto	96
729	inadimplemento	96
730	consumerista	95
731	informação	95
732	polo	95
733	regular	95
734	regularidade	95
735	deveria	94
736	estão	94
737	inexistente	94
738	normas	94
739	nove	94
740	termo	94
741	concessão	93
742	conhecimento	93
743	conjunto	93
744	efetivo	93
745	moratórios	93
746	ncpc	93
747	solicitação	93
748	toda	93
749	arbitrado	92
750	arbitramento	92
751	atraso	92
752	danoso	92
753	decorrência	92
754	essa	92
755	esse	92
756	pleito	92
757	presunção	92
758	faz	91
759	lide	91
760	oito	91
761	rol	91
762	serem	91
763	órgão	91
764	ans	90
765	expressa	90
766	ilícita	90
767	notificação	90
768	ordem	90
769	regras	90
770	responsável	90
771	conserto	89
772	fosse	89
773	improcedente	89
774	operadora	89
775	produção	89
776	todas	89
777	êxito	89
778	cabia	88
779	comarca	88
780	comprovou	88
781	dissabor	88
782	ela	88
783	ofensa	88
784	passivo	88
785	pese	88
786	prevê	88
787	seis	88
788	sociedade	88
789	solução	88
790	vieram	88
791	contato	87
792	diária	87
793	jurisdição	87
794	ligação	87
795	outrossim	87
796	privado	87
797	rel	87
798	segurança	87
799	agravo	86
800	comprovante	86
801	declarar	86
802	dez	86
803	diz	86
804	evitar	86
805	incontroverso	86
806	iv	86
807	realizou	86
808	testemunha	86
809	ª	86
810	benefício	85
811	contexto	85
812	demais	85
813	mediante	85
814	paga	85
815	petição	85
816	propriedade	85
817	relato	85
818	abusiva	84
819	demonstrada	84
820	disposições	84
821	inclusão	84
822	maneira	84
823	nesta	84
824	parcelas	84
825	procedimentos	84
826	públicos	84
827	submeto	84
828	acolhimento	83
829	anterior	83
830	análogos	83
831	dentro	83
832	física	83
833	juntados	83
834	matéria	83
835	rés	83
836	verossimilhança	83
837	administrativa	82
838	aneel	82
839	cento	82
840	sr	82
841	venda	82
842	arts	81
843	corrigidos	81
844	econômica	81
845	existente	81
846	parcelamento	81
847	prazos	81
848	requisitos	81
849	transferência	81
850	xxxxxxxxxxx	81
851	ajuizada	80
852	judiciária	80
853	oi	80
854	referentes	80
855	restritivos	80
856	alegando	79
857	citada	79
858	cliente	79
859	dignidade	79
860	extensão	79
861	redução	79
862	sessenta	79
863	sustenta	79
864	afastada	78
865	conclusos	78
866	confirmada	78
867	consta	78
868	demonstração	78
869	inexiste	78
870	legitimidade	78
871	mensalidade	78
872	precedentes	78
873	viagem	78
874	alteração	77
875	analisando	77
876	aplica	77
877	causal	77
878	embargos	77
879	perda	77
880	transtornos	77
881	violação	77
882	advogado	76
883	claro	76
884	impeditivo	76
885	inadimplência	76
886	logrou	76
887	muito	76
888	ofensor	76
889	poderia	76
890	prestado	76
891	relações	76
892	v	76
893	cumulada	75
894	efetuado	75
895	então	75
896	feita	75
897	igpm	75
898	internet	75
899	juntada	75
900	p	75
901	recorrente	75
902	sofrimento	75
903	tampouco	75
904	terceiros	75
905	ajuizamento	74
906	fez	74
907	leiga	74
908	narra	74
909	razões	74
910	serão	74
911	telefone	74
912	área	74
913	alegados	73
914	antecipação	73
915	caracterizado	73
916	causado	73
917	cláusulas	73
918	contratou	73
919	diploma	73
920	esfera	73
921	evidenciada	73
922	hidrômetro	73
923	mensalidades	73
924	postula	73
925	relata	73
926	santa	73
927	trouxe	73
928	critérios	72
929	cumpre	72
930	dor	72
931	especialmente	72
932	estando	72
933	incumbia	72
934	independentemente	72
935	julgar	72
936	nessa	72
937	problemas	72
938	provimento	72
939	regra	72
940	trinta	72
941	adesão	71
942	conformidade	71
943	endereço	71
944	fortuito	71
945	gratuita	71
946	incompetência	71
947	menos	71
948	mínimo	71
949	recebeu	71
950	registro	71
951	vigência	71
952	vinte	71
953	aplicável	70
954	assiste	70
955	carro	70
956	certo	70
957	contados	70
958	definitiva	70
959	durante	70
960	fonaje	70
961	forte	70
962	h	70
963	hipossuficiência	70
964	média	70
965	perante	70
966	prosperar	70
967	punitivo	70
968	quarenta	70
969	razoável	70
970	remetam	70
971	acolhida	69
972	capaz	69
973	constitutivos	69
974	extintivo	69
975	fica	69
976	igualmente	69
977	inscrito	69
978	modificativo	69
979	postulou	69
980	teoria	69
981	aparelho	68
982	contratados	68
983	dados	68
984	desembolso	68
985	intime	68
986	mista	68
987	pedagógico	68
988	reformada	68
989	vazamento	68
990	verificar	68
991	administrativo	67
992	autorização	67
993	circunstâncias	67
994	comprova	67
995	configura	67
996	d	67
997	depois	67
998	devedor	67
999	pagamentos	67
1000	preliminarmente	67
1001	qualidade	67
1002	recursos	67
1003	seguros	67
1004	sejam	67
1005	adequada	66
1006	adotados	66
1007	aumento	66
1008	cirurgia	66
1009	conclusão	66
1010	erro	66
1011	fraude	66
1012	importância	66
1013	lucros	66
1014	referiu	66
1015	telas	66
1016	analisar	65
1017	ativa	65
1018	cabível	65
1019	causalidade	65
1020	deixou	65
1021	dr	65
1022	instituição	65
1023	levando	65
1024	nunca	65
1025	ofendido	65
1026	serasa	65
1027	vai	65
1028	afirmou	64
1029	comunicação	64
1030	disposição	64
1031	início	64
1032	negócio	64
1033	religação	64
1034	réus	64
1035	x	64
1036	acesso	63
1037	baixa	63
1038	constantes	63
1039	demonstra	63
1040	devidos	63
1041	extrapatrimonial	63
1042	função	63
1043	inexitosa	63
1044	interno	63
1045	juntado	63
1046	mínima	63
1047	parcela	63
1048	presentes	63
1049	prestados	63
1050	previstos	63
1051	rua	63
1052	solicitou	63
1053	trabalho	63
1054	xxxxxxxxxx	63
1055	acrescidos	62
1056	alegada	62
1057	ausente	62
1058	cidade	62
1059	condutor	62
1060	consequência	62
1061	for	62
1062	honra	62
1063	lo	62
1064	posterior	62
1065	restando	62
1066	situações	62
1067	social	62
1068	tão	62
1069	cf	61
1070	concedida	61
1071	décima	61
1072	exercício	61
1073	expressamente	61
1074	fulcro	61
1075	prestadora	61
1076	reembolso	61
1077	síntese	61
1078	tarifa	61
1079	apesar	60
1080	causar	60
1081	complexidade	60
1082	desfavor	60
1083	deverão	60
1084	filho	60
1085	fixada	60
1086	haver	60
1087	imobiliária	60
1088	interposição	60
1089	mensal	60
1090	nota	60
1091	observar	60
1092	poder	60
1093	prévio	60
1094	rge	60
1095	afastar	59
1096	anteriores	59
1097	colisão	59
1098	configurada	59
1099	cálculo	59
1100	defeito	59
1101	faixa	59
1102	informado	59
1103	la	59
1104	min	59
1105	nacional	59
1106	ressaltar	59
1107	testemunhas	59
1108	usuário	59
1109	vejamos	59
1110	acostados	58
1111	ajuizou	58
1112	atos	58
1113	cujo	58
1114	demonstrou	58
1115	exmo	58
1116	finalidade	58
1117	necessária	58
1118	negativação	58
1119	noventa	58
1120	observa	58
1121	reside	58
1122	revelia	58
1123	seguradora	58
1124	setenta	58
1125	unilateral	58
1126	cuja	57
1127	demonstram	57
1128	diretamente	57
1129	informou	57
1130	julgada	57
1131	requeridas	57
1132	saneamento	57
1133	tocante	57
1134	apresentado	56
1135	bens	56
1136	duzentos	56
1137	estes	56
1138	família	56
1139	fundamentar	56
1140	idade	56
1141	imagem	56
1142	inaplicabilidade	56
1143	inc	56
1144	litigância	56
1145	quinhentos	56
1146	realizadas	56
1147	responde	56
1148	sim	56
1149	verifico	56
1150	casa	55
1151	cuida	55
1152	ensejar	55
1153	eventuais	55
1154	financiamento	55
1155	integral	55
1156	orçamento	55
1157	realizados	55
1158	responder	55
1159	sete	55
1160	utilizado	55
1161	vezes	55
1162	dado	54
1163	destacar	54
1164	exordial	54
1165	irregular	54
1166	mercado	54
1167	minimamente	54
1168	negado	54
1169	prática	54
1170	região	54
1171	relativos	54
1172	renda	54
1173	resp	54
1174	seguinte	54
1175	temporal	54
1176	unânime	54
1177	viu	54
1178	ambas	53
1179	apresenta	53
1180	assinatura	53
1181	corretagem	53
1182	diversas	53
1183	documentação	53
1184	extrapatrimoniais	53
1185	mesmos	53
1186	omissão	53
1187	passa	53
1188	percentual	53
1189	poderá	53
1190	proprietário	53
1191	receber	53
1192	relativo	53
1193	autoral	52
1194	cancelado	52
1195	configuração	52
1196	consonância	52
1197	continuidade	52
1198	curso	52
1199	dje	52
1200	fixo	52
1201	gera	52
1202	gratuidade	52
1203	instrumento	52
1204	me	52
1205	revisão	52
1206	sinal	52
1207	suposta	52
1208	verdade	52
1209	argumentos	51
1210	básico	51
1211	fornecedora	51
1212	furto	51
1213	importa	51
1214	interposto	51
1215	legalidade	51
1216	melhor	51
1217	mensais	51
1218	peculiaridades	51
1219	restabelecer	51
1220	restituir	51
1221	solidária	51
1222	sustentou	51
1223	vi	51
1224	voo	51
1225	afasta	50
1226	cinquenta	50
1227	comporta	50
1228	dar	50
1229	distribuidora	50
1230	hipossuficiente	50
1231	hospital	50
1232	ilegalidade	50
1233	julgador	50
1234	ministro	50
1235	modalidade	50
1236	oferta	50
1237	opinar	50
1238	pessoais	50
1239	podendo	50
1240	posteriormente	50
1241	sugestão	50
1242	veracidade	50
1243	administração	49
1244	atender	49
1245	contestou	49
1246	controvérsia	49
1247	enquanto	49
1248	evidenciado	49
1249	linhas	49
1250	mera	49
1251	novamente	49
1252	ofício	49
1253	pede	49
1254	produzir	49
1255	quitação	49
1256	recebimento	49
1257	repercussão	49
1258	riscos	49
1259	titularidade	49
1260	troca	49
1261	utilizados	49
1262	comprovados	48
1263	condenada	48
1264	contrarrazões	48
1265	contratuais	48
1266	dispensa	48
1267	dito	48
1268	diversos	48
1269	excepcional	48
1270	geral	48
1271	importante	48
1272	jurídicas	48
1273	moldes	48
1274	município	48
1275	nulidade	48
1276	pagou	48
1277	perícia	48
1278	precatório	48
1279	preceitua	48
1280	protocolos	48
1281	prévia	48
1282	abusividade	47
1283	aquisição	47
1284	canoas	47
1285	caracteriza	47
1286	carência	47
1287	constitutivo	47
1288	corrente	47
1289	estabelecido	47
1290	imediato	47
1291	impugnação	47
1292	instalação	47
1293	manifestação	47
1294	obrigações	47
1295	passou	47
1296	portabilidade	47
1297	privada	47
1298	proceder	47
1299	tentativa	47
1300	veio	47
1301	vivo	47
1302	aduziu	46
1303	aplicáveis	46
1304	arcar	46
1305	automóvel	46
1306	boa	46
1307	cc	46
1308	competia	46
1309	competência	46
1310	compras	46
1311	comum	46
1312	cruz	46
1313	destarte	46
1314	encargos	46
1315	exclusivamente	46
1316	fase	46
1317	fazendo	46
1318	informa	46
1319	injustificada	46
1320	manter	46
1321	paulo	46
1322	podem	46
1323	precatórios	46
1324	primeiramente	46
1325	tema	46
1326	tipo	46
1327	utiliza	46
1328	vencida	46
1329	acórdão	45
1330	algum	45
1331	busca	45
1332	clara	45
1333	compensação	45
1334	gastos	45
1335	gravidade	45
1336	humana	45
1337	pagas	45
1338	pleiteado	45
1339	postulado	45
1340	pressupostos	45
1341	preço	45
1342	provisória	45
1343	queda	45
1344	reconhecida	45
1345	rural	45
1346	senão	45
1347	sofreu	45
1348	suportados	45
1349	velocidade	45
1350	apresentação	44
1351	atividades	44
1352	causador	44
1353	contrapedido	44
1354	descontos	44
1355	exigir	44
1356	hipóteses	44
1357	incidir	44
1358	informada	44
1359	narrados	44
1360	produzida	44
1361	reconhecer	44
1362	solicitado	44
1363	anteriormente	43
1364	aviso	43
1365	beltrano	43
1366	bom	43
1367	celular	43
1368	clientes	43
1369	comprovam	43
1370	dra	43
1371	enseja	43
1372	estabelecimento	43
1373	excludente	43
1374	incabíveis	43
1375	jec	43
1376	menor	43
1377	mínimos	43
1378	preferencial	43
1379	pretende	43
1380	tudo	43
1381	anotação	42
1382	bancária	42
1383	decorre	42
1384	defeitos	42
1385	determinado	42
1386	etária	42
1387	examinados	42
1388	incontroversa	42
1389	incumbe	42
1390	interpretação	42
1391	j	42
1392	justa	42
1393	ligações	42
1394	orçamentos	42
1395	possuía	42
1396	posteriores	42
1397	ressarcir	42
1398	sucumbência	42
1399	vinha	42
1400	âmbito	42
1401	única	42
1402	agiu	41
1403	alguns	41
1404	antecipada	41
1405	ações	41
1406	capacidade	41
1407	constitui	41
1408	contínua	41
1409	cooperativa	41
1410	custo	41
1411	deferido	41
1412	dele	41
1413	desconto	41
1414	egrégio	41
1415	esgoto	41
1416	estatuto	41
1417	inépcia	41
1418	justificativa	41
1419	lesado	41
1420	levar	41
1421	majoração	41
1422	posição	41
1423	quinta	41
1424	relativamente	41
1425	requerimento	41
1426	resultado	41
1427	semelhantes	41
1428	verba	41
1429	cabendo	40
1430	coletivo	40
1431	contratada	40
1432	correspondente	40
1433	cumprir	40
1434	determina	40
1435	equilíbrio	40
1436	estabelece	40
1437	estaria	40
1438	exemplo	40
1439	favorável	40
1440	hamburgo	40
1441	houver	40
1442	justificar	40
1443	resposta	40
1444	salvo	40
1445	solidariamente	40
1446	trazidos	40
1447	aberto	39
1448	adimplemento	39
1449	adquirido	39
1450	agência	39
1451	apresentar	39
1452	assegurado	39
1453	bloqueio	39
1454	considerado	39
1455	considerar	39
1456	cotidiano	39
1457	credor	39
1458	decorrido	39
1459	depoimentos	39
1460	encontro	39
1461	entender	39
1462	equipamento	39
1463	existe	39
1464	havido	39
1465	ilegal	39
1466	indispensável	39
1467	inexigibilidade	39
1468	instituto	39
1469	invertido	39
1470	inviável	39
1471	livre	39
1472	máximo	39
1473	narrou	39
1474	ocasião	39
1475	patrimonial	39
1476	privadas	39
1477	retirada	39
1478	sempre	39
1479	spc	39
1480	taxa	39
1481	vem	39
1482	veículos	39
1483	vindo	39
1484	índice	39
1485	úteis	39
1486	agente	38
1487	apelo	38
1488	argumento	38
1489	ciência	38
1490	contratante	38
1491	correta	38
1492	deferimento	38
1493	dá	38
1494	emergência	38
1495	entende	38
1496	entrada	38
1497	extraordinário	38
1498	fazenda	38
1499	jurisprudencial	38
1500	migração	38
1501	necessários	38
1502	negligência	38
1503	norma	38
1504	normal	38
1505	normativa	38
1506	objetivo	38
1507	passível	38
1508	presta	38
1509	recusa	38
1510	relativa	38
1511	retorno	38
1512	segurado	38
1513	trazer	38
1514	usuários	38
1515	verbis	38
1516	viamão	38
1517	vulnerabilidade	38
1518	vários	38
1519	acrescida	37
1520	adquiriu	37
1521	apresentados	37
1522	apreço	37
1523	arquive	37
1524	beneficiário	37
1525	caracterizada	37
1526	cobrada	37
1527	comercial	37
1528	comissão	37
1529	comprove	37
1530	contas	37
1531	créditos	37
1532	deixo	37
1533	depreende	37
1534	desnecessária	37
1535	destinatário	37
1536	determinação	37
1537	econômico	37
1538	específica	37
1539	estavam	37
1540	gerar	37
1541	incidente	37
1542	inocorrência	37
1543	julgados	37
1544	jus	37
1545	legítima	37
1546	manobra	37
1547	medição	37
1548	movida	37
1549	médicos	37
1550	oab	37
1551	oitenta	37
1552	previstas	37
1553	profissional	37
1554	protesto	37
1555	questões	37
1556	recebido	37
1557	ressalto	37
1558	salário	37
1559	têm	37
1560	ver	37
1561	vigente	37
1562	vistoria	37
1563	adotado	36
1564	atualizado	36
1565	cirúrgico	36
1566	constante	36
1567	declarada	36
1568	demandantes	36
1569	destaco	36
1570	elemento	36
1571	entrou	36
1572	escrita	36
1573	estadual	36
1574	homologada	36
1575	internação	36
1576	localidade	36
1577	médica	36
1578	peça	36
1579	recibo	36
1580	recorrido	36
1581	resolver	36
1582	salários	36
1583	sra	36
1584	testemunhal	36
1585	trezentos	36
1586	época	36
1587	atualização	35
1588	causando	35
1589	caxias	35
1590	conseguinte	35
1591	corrigida	35
1592	daquela	35
1593	decidir	35
1594	dil	35
1595	dizer	35
1596	efetuada	35
1597	excessiva	35
1598	extrajudicial	35
1599	faturamento	35
1600	fixar	35
1601	negativo	35
1602	observância	35
1603	obstante	35
1604	presença	35
1605	prestar	35
1606	pretendida	35
1607	principalmente	35
1608	proporcional	35
1609	psicológico	35
1610	relatou	35
1611	requerendo	35
1612	requeridos	35
1613	segue	35
1614	sorte	35
1615	suportado	35
1616	suscitada	35
1617	tornar	35
1618	abaixo	34
1619	aborrecimento	34
1620	acostou	34
1621	aqui	34
1622	atende	34
1623	atenção	34
1624	critério	34
1625	descrito	34
1626	envio	34
1627	familiar	34
1628	folha	34
1629	funcionários	34
1630	impondo	34
1631	incide	34
1632	indevidas	34
1633	ocorrer	34
1634	passagem	34
1635	patamar	34
1636	permaneceu	34
1637	pretendido	34
1638	regularização	34
1639	restritivo	34
1640	resumo	34
1641	riograndense	34
1642	suficientes	34
1643	suma	34
1644	traz	34
